***********************************************************
 Czas           Środek         Powierzchnia   dT           
 487.491264849  144.366627765  174.267303629  29.9006758648
 488.609364081  144.476533966  174.319011544  29.8424775781
 489.727463312  144.586236301  174.370610872  29.7843745709
 490.845562543  144.695734954  174.422101907  29.7263669528
 491.963661774  144.805030113  174.473484942  29.6684548288
 493.081761006  144.914121971  174.524760270  29.6106382993
 494.199860237  145.023010720  174.575928181  29.5529174606
 495.317959468  145.131696557  174.626988961  29.4952924045
 496.436058700  145.240179681  174.677942899  29.4377632186
 497.554157931  145.348460293  174.728790279  29.3803299862
 498.672257162  145.456538598  174.779531385  29.3229927867
 499.790356394  145.564414802  174.830166497  29.2657516953
 500.908455625  145.672089114  174.880695897  29.2086067831
 502.026554856  145.779561746  174.931119863  29.1515581176
 503.144654088  145.886832911  174.981438673  29.0946057622
 504.262753319  145.993902825  175.031652601  29.0377497764
 505.380852550  146.100771706  175.081761922  28.9809902162
 506.498951781  146.207439775  175.131766909  28.9243271338
 507.617051013  146.313907255  175.181667833  28.8677605778
 508.735150244  146.420174370  175.231464963  28.8112905931
 509.853249475  146.526241346  175.281158568  28.7549172214
 510.971348707  146.632108414  175.330748915  28.6986405006
 512.089447938  146.737775803  175.380236269  28.6424604655
 513.207547169  146.843243746  175.429620894  28.5863771472
 514.325646401  146.948512479  175.478903053  28.5303905739
 515.443745632  147.053582237  175.528083007  28.4745007704
 516.561844863  147.158453259  175.577161017  28.4187077581
 517.679944095  147.263125785  175.626137341  28.3630115557
 518.798043326  147.367600058  175.675012237  28.3074121785
 519.916142557  147.471876321  175.723785960  28.2519096388
 521.034241788  147.575954819  175.772458765  28.1965039461
 522.152341020  147.679835799  175.821030906  28.1411951066
 523.270440251  147.783519511  175.869502635  28.0859831241
 524.388539482  147.887006204  175.917874204  28.0308679993
 525.506638714  147.990296131  175.966145861  27.9758497299
 526.624737945  148.093389545  176.014317856  27.9209283112
 527.742837176  148.196286700  176.062390436  27.8661037358
 528.860936408  148.298987853  176.110363846  27.8113759933
 529.979035639  148.401493262  176.158238333  27.7567450710
 531.097134870  148.503803187  176.206014140  27.7022109534
 532.215234102  148.605917887  176.253691509  27.6477736228
 533.333333333  148.707837624  176.301270683  27.5934330587
 534.451432564  148.809562662  176.348751901  27.5391892383
 535.569531795  148.911093266  176.396135403  27.4850421363
 536.687631027  149.012429701  176.443421426  27.4309917252
 537.805730258  149.113572234  176.490610209  27.3770379750
 538.923829489  149.214521133  176.537701986  27.3231808534
 540.041928721  149.315276668  176.584696994  27.2694203261
 541.160027952  149.415839109  176.631595465  27.2157563563
 542.278127183  149.516208728  176.678397633  27.1621889053
 543.396226415  149.616385797  176.725103729  27.1087179320
 544.514325646  149.716370591  176.771713984  27.0553433933
 545.632424877  149.816163384  176.818228628  27.0020652441
 546.750524109  149.915764451  176.864647889  26.9488834373
 547.868623340  150.015174071  176.910971995  26.8957979236
 548.986722571  150.114392521  176.957201173  26.8428086519
 550.104821802  150.213420078  177.003335648  26.7899155692
 551.222921034  150.312257024  177.049375645  26.7371186205
 552.341020265  150.410903639  177.095321388  26.6844177490
 553.459119496  150.509360204  177.141173100  26.6318128961
 554.577218728  150.607627001  177.186931002  26.5793040013
 555.695317959  150.705704314  177.232595316  26.5268910024
 556.813417190  150.803592426  177.278166262  26.4745738355
 557.931516422  150.901291623  177.323644058  26.4223524348
 559.049615653  150.998802189  177.369028922  26.3702267332
 560.167714884  151.096124411  177.414321073  26.3181966616
 561.285814116  151.193258576  177.459520726  26.2662621494
 562.403913347  151.290204972  177.504628097  26.2144231245
 563.522012578  151.386963887  177.549643400  26.1626795130
 564.640111809  151.483535610  177.594566849  26.1110312398
 565.758211041  151.579920430  177.639398658  26.0594782281
 566.876310272  151.676118638  177.684139038  26.0080203996
 567.994409503  151.772130525  177.728788200  25.9566576745
 569.112508735  151.867956383  177.773346355  25.9053899718
 570.230607966  151.963596503  177.817813712  25.8542172089
 571.348707197  152.059051178  177.862190479  25.8031393019
 572.466806429  152.154320701  177.906476866  25.7521561655
 573.584905660  152.249405366  177.950673079  25.7012677131
 574.703004891  152.344305467  177.994779324  25.6504738568
 575.821104122  152.439021298  178.038795806  25.5997745076
 576.939203354  152.533553156  178.082722731  25.5491695748
 578.057302585  152.627901335  178.126560302  25.4986589669
 579.175401816  152.722066132  178.170308723  25.4482425911
 580.293501048  152.816047842  178.213968195  25.3979203531
 581.411600279  152.909846763  178.257538921  25.3476921579
 582.529699510  153.003463193  178.301021102  25.2975579091
 583.647798742  153.096897428  178.344414937  25.2475175091
 584.765897973  153.190149767  178.387720626  25.1975708595
 585.883997204  153.283220507  178.430938368  25.1477178604
 587.002096436  153.376109949  178.474068360  25.0979584113
 588.120195667  153.468818390  178.517110800  25.0482924103
 589.238294898  153.561346130  178.560065885  24.9987197547
 590.356394129  153.653693469  178.602933809  24.9492403406
